Log
camera starts: 1519821570713.7896
camera ends: 1519821570745.694
camera starts: 1519821570753.1848
camera ends: 1519821570786.9329
camera starts: 1519821570792.2454
camera ends: 1519821570810.3552
camera starts: 1519821570816.332
joystic starts: 1519821570833.113
camera ends: 1519821570853.7961
camera starts: 1519821570861.9424
joystic ends: 1519821570875.2878
joystic starts: 1519821570887.2827
camera ends: 1519821570906.2947
camera starts: 1519821570913.816
joystic ends: 1519821570927.4807
joystic starts: 1519821570928.2607
joystic ends: 1519821570961.4087
joystic starts: 1519821570963.4968
camera ends: 1519821570979.3345
camera starts: 1519821570985.1445
joystic ends: 1519821571015.819
camera ends: 1519821571036.1604
camera starts: 1519821571040.6086
joystic starts: 1519821571620.5925
camera ends: 1519821572102.8494
camera starts: 1519821572109.999
joystic ends: 1519821572149.012
joystic starts: 1519821572150.8735
camera ends: 1519821572169.0828
camera starts: 1519821572175.1135
joystic ends: 1519821572203.7705
joystic starts: 1519821572757.179
camera ends: 1519821573249.158
camera starts: 1519821573255.8252
joystic ends: 1519821573289.3455
joystic starts: 1519821573291.1543
camera ends: 1519821573313.807
camera starts: 1519821573319.9775
joystic ends: 1519821573340.6108
camera ends: 1519821573369.7
camera starts: 1519821573375.0984
camera ends: 1519821573400.213
camera starts: 1519821573404.9631
camera ends: 1519821573443.9072
camera starts: 1519821573448.4656
camera ends: 1519821573468.8123
camera starts: 1519821573473.5244
camera ends: 1519821573509.7983
camera starts: 1519821573514.9263
camera ends: 1519821573535.36
camera starts: 1519821573539.9885
camera ends: 1519821573580.839
camera starts: 1519821573585.5227
camera ends: 1519821573614.1077
camera starts: 1519821573619.0393
camera ends: 1519821573643.7375
camera starts: 1519821573649.181
camera ends: 1519821573683.1997
camera starts: 1519821573688.0842
camera ends: 1519821573705.9287
camera starts: 1519821573711.5012
camera ends: 1519821573738.4954
camera starts: 1519821573742.6672
camera ends: 1519821573765.5388
camera starts: 1519821573770.1409
camera ends: 1519821573797.0317
camera starts: 1519821573801.6187
camera ends: 1519821573820.2427
camera starts: 1519821573824.7844
joystic starts: 1519821573924.606
camera ends: 1519821574072.9712
camera starts: 1519821574079.5317
joystic ends: 1519821574090.4883
joystic starts: 1519821574092.2246
camera ends: 1519821574124.3032
camera starts: 1519821574130.2988
joystic ends: 1519821574146.157
joystic starts: 1519821574148.6726
camera ends: 1519821574180.1138
camera starts: 1519821574185.951
joystic ends: 1519821574212.1467
camera ends: 1519821574255.8616
camera starts: 1519821574260.459
camera ends: 1519821574999.2646
camera starts: 1519821575005.0098
camera ends: 1519821575041.179
camera starts: 1519821575046.1868
joystic starts: 1519821575063.475
camera ends: 1519821575095.3132
camera starts: 1519821575101.2988
joystic ends: 1519821575135.49
joystic starts: 1519821575137.6982
camera ends: 1519821575155.2322
camera starts: 1519821575161.1328
joystic ends: 1519821575201.0002
camera ends: 1519821575472.5945
camera starts: 1519821575477.2332
camera ends: 1519821575526.9094
camera starts: 1519821575531.628
camera ends: 1519821575581.3823
camera starts: 1519821575585.996
camera ends: 1519821575637.1213
camera starts: 1519821575641.4119
camera ends: 1519821575667.7876
camera starts: 1519821575671.9875
camera ends: 1519821575935.5503
camera starts: 1519821575939.7998
camera ends: 1519821575978.9578
camera starts: 1519821575983.065
camera ends: 1519821576029.6213
camera starts: 1519821576033.652
camera ends: 1519821576055.5056
camera starts: 1519821576059.5645
joystic starts: 1519821576076.0703
camera ends: 1519821576095.2512
camera starts: 1519821576100.6174
joystic ends: 1519821576120.237
joystic starts: 1519821576129.3918
camera ends: 1519821576157.9617
camera starts: 1519821576163.4136
joystic ends: 1519821576208.0066
joystic starts: 1519821576919.482
camera ends: 1519821577274.2578
camera starts: 1519821577281.3381
joystic ends: 1519821578299.19
joystic starts: 1519821578301.157
camera ends: 1519821578331.1143
camera starts: 1519821578337.3027
joystic ends: 1519821578357.5583
camera ends: 1519821578392.6763
camera starts: 1519821578396.98
camera ends: 1519821578416.5027
camera starts: 1519821578420.5667
camera ends: 1519821578447.4014
camera starts: 1519821578451.4963
camera ends: 1519821578471.5276
camera starts: 1519821578476.2273
camera ends: 1519821578506.6553
camera starts: 1519821578511.5803
camera ends: 1519821578528.762
camera starts: 1519821578543.8943
camera ends: 1519821578632.9631
camera starts: 1519821578637.2551
joystic starts: 1519821579144.712
camera ends: 1519821579241.4275
camera starts: 1519821579247.4478
joystic ends: 1519821579262.0696
joystic starts: 1519821579263.824
camera ends: 1519821579294.205
camera starts: 1519821579299.7275
joystic ends: 1519821579338.6929
camera ends: 1519821579354.5894
camera starts: 1519821579358.8193
camera ends: 1519821579376.7207
camera starts: 1519821579380.9702
camera ends: 1519821579408.783
camera starts: 1519821579412.8994
camera ends: 1519821579461.6377
camera starts: 1519821579465.5977
camera ends: 1519821579482.1821
camera starts: 1519821579485.9768
camera ends: 1519821579522.8157
camera starts: 1519821579526.8105
camera ends: 1519821579547.5352
camera starts: 1519821579551.787
camera ends: 1519821579575.4922
camera starts: 1519821579579.7349
joystic starts: 1519821580214.727
camera ends: 1519821580602.0632
camera starts: 1519821580608.5562
joystic ends: 1519821581027.1135
joystic starts: 1519821581029.1328
camera ends: 1519821581060.398
camera starts: 1519821581066.1545
joystic ends: 1519821581109.6902
joystic starts: 1519821581395.9775
camera ends: 1519821582154.0298
camera starts: 1519821582161.0244
joystic ends: 1519821583235.7146
joystic starts: 1519821583237.45
camera ends: 1519821583254.957
camera starts: 1519821583262.4836
joystic ends: 1519821583291.081
joystic starts: 1519821583399.7344
camera ends: 1519821584234.809
camera starts: 1519821584242.6
joystic ends: 1519821584256.2551
camera ends: 1519821584318.0505
camera starts: 1519821584322.9329
joystic starts: 1519821584333.225
camera ends: 1519821584356.5334
camera starts: 1519821584363.4038
joystic ends: 1519821584412.528
joystic starts: 1519821584414.4216
camera ends: 1519821584428.993
camera starts: 1519821584435.0984
joystic ends: 1519821584467.8188
joystic starts: 1519821584468.7068
camera ends: 1519821584485.569
camera starts: 1519821584491.4485
joystic ends: 1519821584529.7026
joystic starts: 1519821584531.4604
camera ends: 1519821585565.9822
camera starts: 1519821585573.4863
joystic ends: 1519821585596.2097
joystic starts: 1519821585596.9958
camera ends: 1519821585640.7568
camera starts: 1519821585646.5364
joystic ends: 1519821585693.0693
joystic starts: 1519821586247.0935
camera ends: 1519821587386.723
camera starts: 1519821587394.321
joystic ends: 1519821587421.6223
joystic starts: 1519821587423.667
camera ends: 1519821587704.7288
camera starts: 1519821587711.8396
joystic ends: 1519821587742.411
joystic starts: 1519821587743.1082
camera ends: 1519821587775.47
camera starts: 1519821587781.686
joystic ends: 1519821587803.6353
camera ends: 1519821587840.7014
camera starts: 1519821587845.5237
camera ends: 1519821587863.699
camera starts: 1519821587868.809
camera ends: 1519821587916.3308
camera starts: 1519821587921.5166
camera ends: 1519821587955.5977
camera starts: 1519821587960.6853
joystic starts: 1519821588483.6057
camera ends: 1519821588988.934
camera starts: 1519821588995.874
joystic ends: 1519821589044.8074
joystic starts: 1519821589484.6235
camera ends: 1519821589859.2634
camera starts: 1519821589866.104
joystic ends: 1519821590902.929
joystic starts: 1519821590905.0098
camera ends: 1519821591214.8953
camera starts: 1519821591222.8547
joystic ends: 1519821591245.7568
camera ends: 1519821591273.6328
camera starts: 1519821591279.376
camera ends: 1519821591382.508
camera starts: 1519821591388.2966
camera ends: 1519821591416.7554
camera starts: 1519821591422.2964
joystic starts: 1519821591590.258
camera ends: 1519821591692.95
camera starts: 1519821591699.524
joystic ends: 1519821591727.7764
joystic starts: 1519821591729.6597
camera ends: 1519821591747.074
camera starts: 1519821591753.9836
joystic ends: 1519821591812.0845
joystic starts: 1519821591814.2324
camera ends: 1519821592071.3774
camera starts: 1519821592078.054
joystic ends: 1519821593129.9048
joystic starts: 1519821593131.675
camera ends: 1519821594193.018
camera starts: 1519821594200.4983
joystic ends: 1519821594263.3152
joystic starts: 1519821594265.168
camera ends: 1519821594531.0369
camera starts: 1519821594539.1443
joystic ends: 1519821594555.1458
camera ends: 1519821594584.5828
camera starts: 1519821594589.3916
joystic starts: 1519821594895.803
camera ends: 1519821595224.1194
camera starts: 1519821595230.5217
joystic ends: 1519821595344.3975
joystic starts: 1519821595897.1025
camera ends: 1519821596377.6055
camera starts: 1519821596381.3525
joystic ends: 1519821596423.6382
joystic starts: 1519821596424.657
camera ends: 1519821596754.8447
camera starts: 1519821596758.463
joystic ends: 1519821596773.0417
joystic starts: 1519821596774.0293
camera ends: 1519821596820.639
camera starts: 1519821596823.9385
joystic ends: 1519821597205.0725
joystic starts: 1519821597206.0713
camera ends: 1519821597249.7107
camera starts: 1519821597253.1096
joystic ends: 1519821597279.3335
